vehicle_id,registration_no,make,model,colour,vehicle_class,registered_state,owner_person_id,owner_name_on_record,registration_date,is_fake_plate,chassis_tampered
VEH000202,WB57 MC 7726,Hyundai,Creta,White,LMV,West Bengal,P000578,Nepal Gayen,2018-11-22,0,0
VEH000203,UP80 CV 3456,Hyundai,i20,Silver,LMV,Uttar Pradesh,P000586,Nirmal Mistry,2022-10-17,0,0
VEH000204,AS10 EC 8216,Hyundai,i20,Red,LMV,Assam,P000591,Anup Roy,2025-07-16,0,0
VEH000205,WB57 IW 7726,Mahindra,Pick-Up,Black,LMV,West Bengal,P000592,Sudha Singh,2016-10-08,0,0
VEH000206,DL03 HJ 4263,Hyundai,i20,White,LMV,Delhi,P000595,Faizan Pathan,2024-01-17,0,0
VEH000207,DL02 NO 9085,Toyota,Fortuner,Black,LMV,Delhi,P000598,THIRD PARTY,2023-01-03,1,0
VEH000208,WB02 AC 4185,Toyota,Etios,Red,LMV,West Bengal,P000599,Satish Awasthi,2019-07-22,0,0
VEH000209,BR09 LG 7400,Hyundai,Venue,Grey,LMV,Bihar,P000601,Sarfaraz Chaudhary,2020-08-12,0,0
VEH000210,BR06 LX 1501,Eicher,Pro 2049,Maroon,COMMERCIAL,Bihar,P000602,THIRD PARTY,2016-03-20,0,0
VEH000211,DL09 EK 9214,Maruti Suzuki,Brezza,Red,LMV,Delhi,P000607,THIRD PARTY,2015-02-18,0,0
VEH000212,TN01 EX 2326,Royal Enfield,Himalayan,Blue,TWO_WHEELER,Tamil Nadu,P000613,THIRD PARTY,2024-12-27,0,0
VEH000213,OD02 PY 5005,Eicher,Pro 3015,Red,COMMERCIAL,Odisha,P000614,Rajendran Muthusamy,2021-07-01,0,0
VEH000214,CG04 AA 1787,Bajaj,Pulsar 150,Silver,TWO_WHEELER,Chhattisgarh,P000616,THIRD PARTY,2022-09-18,0,0
VEH000215,TN37 FP 0767,Bajaj,Pulsar 220,Blue,TWO_WHEELER,Tamil Nadu,P000617,Chandra Shekar Setty,2022-04-24,0,0
VEH000216,AP21 OU 2156,Mahindra,Scorpio,Maroon,LMV,Andhra Pradesh,P000619,Prasanna Mallick,2022-05-15,1,0
VEH000217,OD02 ZM 6802,Bajaj,Pulsar 220,Silver,TWO_WHEELER,Odisha,P000620,Saravanan Rajendran,2024-10-09,0,0
VEH000218,KA03 FU 3103,Ashok Leyland,Ecomet,Black,COMMERCIAL,Karnataka,P000621,Revathi Mudaliar,2015-02-02,0,1
VEH000219,KA41 EA 9125,Bajaj,Platina,Maroon,TWO_WHEELER,Karnataka,P000624,THIRD PARTY,2021-01-13,0,0
VEH000220,TN09 SK 4055,Toyota,Fortuner,White,LMV,Tamil Nadu,P000626,Murugan Muthusamy,2023-11-22,0,0
VEH000221,TN09 VP 7634,Bajaj,Pulsar 220,White,TWO_WHEELER,Tamil Nadu,P000627,THIRD PARTY,2025-04-21,0,0
VEH000222,OD05 DA 2242,Honda,City,White,LMV,Odisha,P000630,Bibhuti Mohanty,2025-04-23,0,0
VEH000223,CG10 CT 6495,Maruti Suzuki,Eeco,Black,LMV,Chhattisgarh,P000631,Narsimha Prasad,2018-02-04,0,0
VEH000224,OD02 XU 6090,Hyundai,Santro,White,LMV,Odisha,P000635,Manikandan Annadurai,2015-05-09,0,0
VEH000225,TN10 JA 4729,Mahindra,Pick-Up,Grey,LMV,Tamil Nadu,P000636,Lakshmi Sharma,2018-02-08,0,0
VEH000226,KA41 GV 6673,Ashok Leyland,Dost,Grey,COMMERCIAL,Karnataka,P000637,Chitra Naicker,2019-02-06,0,1
VEH000227,CG04 AA 0872,Mahindra,Scorpio,White,LMV,Chhattisgarh,P000646,THIRD PARTY,2026-01-09,0,0
VEH000228,OD05 HJ 5811,Tata,407,White,LMV,Odisha,P000649,Srinivas Choudary,2014-07-06,0,0
VEH000229,TS09 PP 4949,Eicher,Pro 2049,Grey,COMMERCIAL,Telangana,P000655,Karthik Thevar,2019-05-31,0,0
VEH000230,MH03 KI 4309,Honda,City,Maroon,LMV,Maharashtra,P000657,Bhagaban Mohanty,2018-08-21,0,0
VEH000231,CG04 JV 6125,Maruti Suzuki,Brezza,Blue,LMV,Chhattisgarh,P000658,THIRD PARTY,2023-11-07,0,0
VEH000232,MH03 BI 9956,Hyundai,Verna,Blue,LMV,Maharashtra,P000665,THIRD PARTY,2013-10-19,1,0
VEH000233,OD05 UJ 4076,Honda,Amaze,Grey,LMV,Odisha,P000666,Hariom Bhardwaj,2015-05-14,0,0
VEH000234,AS01 UP 7904,Tata,Ace,Red,LMV,Assam,P000668,Sarat Rout,2026-03-02,0,0
VEH000235,JH10 DI 5990,Hero,HF Deluxe,Red,TWO_WHEELER,Jharkhand,P000670,THIRD PARTY,2023-11-17,0,0
VEH000236,JH20 LF 8665,Royal Enfield,Himalayan,Silver,TWO_WHEELER,Jharkhand,P000672,Sasmita Mallick,2018-08-27,0,0
VEH000237,OD02 NM 9969,Bajaj,Pulsar 220,Grey,TWO_WHEELER,Odisha,P000677,THIRD PARTY,2023-10-29,0,0
VEH000238,JH01 IU 6823,Royal Enfield,Classic 350,Black,TWO_WHEELER,Jharkhand,P000679,Bandana Sardar,2015-07-04,0,0
VEH000239,AS01 VB 8661,Honda,City,White,LMV,Assam,P000680,Prakash Dubey,2013-08-26,0,0
VEH000240,AS10 HB 9626,Bajaj,Pulsar 150,Red,TWO_WHEELER,Assam,P000684,Sunil Verma,2019-06-26,0,0
VEH000241,WB57 WM 4043,Mahindra,Scorpio,Grey,LMV,West Bengal,P000685,Balbir Mishra,2015-08-13,0,0
VEH000242,OD02 GR 3032,Hyundai,Creta,Maroon,LMV,Odisha,P000688,Pradip Ghosh,2023-07-01,0,0
VEH000243,WB02 RC 9667,Royal Enfield,Himalayan,Red,TWO_WHEELER,West Bengal,P000691,Arun Gupta,2016-05-21,0,0
VEH000244,OD02 QA 2147,Bajaj,Pulsar 150,Red,TWO_WHEELER,Odisha,P000693,Arun Chauhan,2025-04-08,0,0
VEH000245,BR33 JQ 6202,Maruti Suzuki,Swift,Maroon,LMV,Bihar,P000694,Gautam Sen,2016-11-23,1,0
VEH000246,JH13 JV 3567,Maruti Suzuki,Eeco,Grey,LMV,Jharkhand,P000695,Basanta Mallick,2026-05-12,0,0
VEH000247,BR01 SF 5893,Hyundai,Santro,Red,LMV,Bihar,P000696,Jagabandhu Sahoo,2013-08-12,0,1
VEH000248,AS10 UT 9088,Hyundai,Venue,Maroon,LMV,Assam,P000698,THIRD PARTY,2019-11-19,0,0
VEH000249,OD07 ZJ 5393,Mahindra,XUV700,Maroon,LMV,Odisha,P000703,Mahesh Saini,2015-10-18,1,0
VEH000250,JH10 WP 5986,Bajaj,Pulsar 150,Blue,TWO_WHEELER,Jharkhand,P000707,Akshaya Sahoo,2025-04-03,0,0
VEH000251,JH20 CV 0228,Bajaj,Pulsar 150,Red,TWO_WHEELER,Jharkhand,P000711,Vijay Singh,2025-05-25,0,0
VEH000252,KA03 NJ 0927,Ashok Leyland,Ecomet,Blue,COMMERCIAL,Karnataka,P000715,THIRD PARTY,2024-09-22,0,0
VEH000253,RJ14 XZ 7142,Royal Enfield,Himalayan,Maroon,TWO_WHEELER,Rajasthan,P000717,THIRD PARTY,2019-04-19,0,0
VEH000254,MH12 XE 5477,Eicher,Pro 3015,Maroon,COMMERCIAL,Maharashtra,P000718,Haroon Pathan,2016-07-24,0,0
VEH000255,RJ02 KW 8677,Hyundai,Verna,Silver,LMV,Rajasthan,P000719,THIRD PARTY,2018-10-05,0,0
VEH000256,KA03 KB 6826,Toyota,Etios,Maroon,LMV,Karnataka,P000722,THIRD PARTY,2023-09-17,0,0
VEH000257,RJ19 LQ 5911,Toyota,Etios,Silver,LMV,Rajasthan,P000723,THIRD PARTY,2013-03-10,0,0
VEH000258,GJ27 QQ 2394,Toyota,Fortuner,Black,LMV,Gujarat,P000727,Vishal More,2023-08-11,1,0
VEH000259,GJ01 PW 2391,Maruti Suzuki,Brezza,White,LMV,Gujarat,P000728,THIRD PARTY,2026-01-09,0,0
VEH000260,DL09 RG 5105,Tata,Nexon,Black,LMV,Delhi,P000729,Vinod Bhadauria,2015-02-10,0,0
VEH000261,MH04 LB 6993,Bajaj,Pulsar 150,Silver,TWO_WHEELER,Maharashtra,P000735,Vipul Parmar,2014-05-10,0,0
VEH000262,RJ02 XR 3657,Tata,Ace,Maroon,LMV,Rajasthan,P000739,Har Prasad Gupta,2013-05-03,0,0
VEH000263,KA01 RQ 3070,Toyota,Innova Crysta,Blue,LMV,Karnataka,P000743,THIRD PARTY,2015-05-02,0,0
VEH000264,RJ19 SO 6989,Royal Enfield,Classic 350,Grey,TWO_WHEELER,Rajasthan,P000745,Paresh Rabari,2017-04-20,1,0
VEH000265,GJ27 SE 0490,Bajaj,Pulsar 220,Grey,TWO_WHEELER,Gujarat,P000749,Shyamlal Bhardwaj,2019-03-04,0,0
VEH000266,GJ12 PH 2192,Royal Enfield,Himalayan,Grey,TWO_WHEELER,Gujarat,P000756,THIRD PARTY,2012-10-03,1,0
VEH000267,KA03 UJ 3183,Mahindra,Thar,White,LMV,Karnataka,P000759,THIRD PARTY,2017-12-28,0,0
VEH000268,TS10 LC 8641,Ashok Leyland,Boss,White,COMMERCIAL,Telangana,P000761,Mahesh Pandey,2012-11-20,0,0
VEH000269,JH01 CB 5962,Hero,HF Deluxe,Maroon,TWO_WHEELER,Jharkhand,P000768,Prakash Gupta,2013-06-07,0,0
VEH000270,JH13 TD 3669,Toyota,Fortuner,Silver,LMV,Jharkhand,P000773,Shakuntala Nishad,2012-12-16,0,0
VEH000271,UP14 WA 2670,Toyota,Etios,White,LMV,Uttar Pradesh,P000780,Pradeep Prajapati,2018-04-20,0,0
VEH000272,JH13 QG 4756,Royal Enfield,Bullet 350,Red,TWO_WHEELER,Jharkhand,P000781,Prakash Maurya,2023-12-08,1,0
VEH000273,JH10 IR 8499,Royal Enfield,Classic 350,Blue,TWO_WHEELER,Jharkhand,P000783,Firoz Siddiqui,2018-05-25,0,0
VEH000274,BR01 YF 4782,Ashok Leyland,Boss,Grey,COMMERCIAL,Bihar,P000784,Ashfaq Sheikh,2019-08-16,0,0
VEH000275,JH20 VP 5246,Hero,HF Deluxe,Black,TWO_WHEELER,Jharkhand,P000794,Wasim Hussain,2021-09-16,0,1
VEH000276,WB57 QA 4708,Honda,Amaze,Red,LMV,West Bengal,P000797,Imran Ahmed,2017-04-26,0,0
VEH000277,BR09 AW 1628,Tata,Ace,Maroon,LMV,Bihar,P000798,THIRD PARTY,2025-12-10,0,0
VEH000278,WB20 MV 3842,Honda,City,Blue,LMV,West Bengal,P000800,Haroon Mansuri,2017-05-06,0,1
VEH000279,UP65 SS 3289,Maruti Suzuki,Eeco,Silver,LMV,Uttar Pradesh,P000805,Ranveer Beniwal,2019-03-07,1,0
VEH000280,HR10 XH 7798,Hero,Passion Pro,Silver,TWO_WHEELER,Haryana,P000806,Hanuman Shekhawat,2016-10-25,0,0
VEH000281,RJ02 XU 5793,Honda,Amaze,Red,LMV,Rajasthan,P000812,THIRD PARTY,2020-07-31,1,0
VEH000282,RJ27 AW 2459,Ashok Leyland,Dost,White,COMMERCIAL,Rajasthan,P000814,Balbir Thakur,2016-12-04,0,0
VEH000283,HR38 LM 4594,Hero,HF Deluxe,Grey,TWO_WHEELER,Haryana,P000815,Kuldeep Srivastava,2014-06-21,0,0
VEH000284,HR51 UD 3045,Bajaj,Pulsar 150,Silver,TWO_WHEELER,Haryana,P000816,Tarsem Virk,2020-03-29,1,0
VEH000285,DL10 VW 1186,Toyota,Innova Crysta,White,LMV,Delhi,P000818,Gopal Saini,2015-11-06,0,0
VEH000286,RJ05 LU 9100,Royal Enfield,Himalayan,Silver,TWO_WHEELER,Rajasthan,P000819,Bhanwar Meena,2017-06-03,0,0
VEH000287,PB08 QN 2496,Hero,HF Deluxe,Blue,TWO_WHEELER,Punjab,P000826,Jarnail Singh,2017-12-25,0,0
VEH000288,RJ14 BP 4219,Royal Enfield,Classic 350,Silver,TWO_WHEELER,Rajasthan,P000827,Prakash Shukla,2016-06-04,0,0
VEH000289,MH20 LT 3172,Toyota,Etios,Silver,LMV,Maharashtra,P000834,THIRD PARTY,2024-06-22,0,0
VEH000290,DL07 OM 2924,Bajaj,Platina,White,TWO_WHEELER,Delhi,P000836,Lakhwinder Bains,2019-11-01,0,1
VEH000291,HR26 CF 5865,Royal Enfield,Classic 350,Grey,TWO_WHEELER,Haryana,P000842,THIRD PARTY,2018-11-17,0,0
VEH000292,PB65 SL 6056,Honda,City,Black,LMV,Punjab,P000844,Gurpreet Toor,2017-12-24,0,0
VEH000293,HR26 VF 0854,Toyota,Etios,Grey,LMV,Haryana,P000845,Yogendra Saini,2023-05-15,0,0
VEH000294,WB57 XT 0656,Honda,Amaze,Grey,LMV,West Bengal,P000850,Nagaraju Nallamothu,2019-06-22,0,0
VEH000295,WB57 SB 3404,Hyundai,Verna,Maroon,LMV,West Bengal,P000853,Rajesh Jaiswal,2025-09-17,0,0
VEH000296,AP21 PJ 0770,Bajaj,Pulsar 150,Red,TWO_WHEELER,Andhra Pradesh,P000855,THIRD PARTY,2025-07-05,0,0
VEH000297,DL04 QV 6384,Toyota,Fortuner,Grey,LMV,Delhi,P000856,THIRD PARTY,2018-10-24,0,0
VEH000298,AS10 OO 1250,Eicher,Pro 3015,Red,COMMERCIAL,Assam,P000862,THIRD PARTY,2013-06-13,0,0
VEH000299,WB20 EN 4399,Toyota,Fortuner,Silver,LMV,West Bengal,P000865,THIRD PARTY,2015-03-06,0,0
VEH000300,AP07 EN 1475,Toyota,Fortuner,Red,LMV,Andhra Pradesh,P000866,Chinnadurai Annadurai,2017-07-27,0,1
VEH000301,TN45 FJ 8078,Bajaj,Platina,Grey,TWO_WHEELER,Tamil Nadu,P000867,THIRD PARTY,2016-11-14,0,0
VEH000302,WB06 MH 1414,Bajaj,Pulsar 220,Red,TWO_WHEELER,West Bengal,P000871,THIRD PARTY,2017-12-29,0,0
VEH000303,AS01 QZ 7552,Toyota,Fortuner,Red,LMV,Assam,P000874,Ramulu Nallamothu,2020-03-21,1,0
VEH000304,MP04 PG 1561,Toyota,Innova Crysta,Silver,LMV,Madhya Pradesh,P000876,Krishnaiah Goud,2020-03-05,0,1
VEH000305,WB24 MC 3874,Tata,407,Blue,LMV,West Bengal,P000877,Palanisamy Annadurai,2026-03-27,0,0
VEH000306,WB06 ED 2220,Honda,Amaze,Blue,LMV,West Bengal,P000878,THIRD PARTY,2012-12-28,0,0
VEH000307,AS01 BG 8649,Eicher,Pro 2049,Blue,COMMERCIAL,Assam,P000879,THIRD PARTY,2021-06-17,1,0
VEH000308,AP16 CB 6747,Ashok Leyland,Boss,Grey,COMMERCIAL,Andhra Pradesh,P000880,Murugan Annadurai,2013-09-03,0,0
VEH000309,MN02 XI 9039,Maruti Suzuki,Brezza,Black,LMV,Manipur,P000884,Wasim Mansuri,2015-11-16,0,0
VEH000310,AS15 EL 9511,Toyota,Innova Crysta,Grey,LMV,Assam,P000886,THIRD PARTY,2025-07-19,1,0
VEH000311,MH12 NY 3096,Bajaj,Pulsar 220,White,TWO_WHEELER,Maharashtra,P000887,Anoop Kartha,2012-11-17,0,0
VEH000312,AP39 IC 1792,Honda,City,Grey,LMV,Andhra Pradesh,P000888,Balwinder Dhaliwal,2020-07-22,0,0
VEH000313,AP21 BR 6987,Hero,Splendor Plus,Silver,TWO_WHEELER,Andhra Pradesh,P000890,Vishal Bhosale,2020-06-28,0,1
VEH000314,KL01 SB 6650,Bajaj,Pulsar 150,Red,TWO_WHEELER,Kerala,P000894,Aslam Baig,2021-05-18,0,1
VEH000315,WB73 DV 8818,Royal Enfield,Himalayan,Black,TWO_WHEELER,West Bengal,P000898,THIRD PARTY,2014-12-16,0,0
VEH000316,RJ19 BH 7063,Maruti Suzuki,Dzire,Maroon,LMV,Rajasthan,P000899,THIRD PARTY,2022-03-27,1,0
VEH000317,MP07 BB 1893,Eicher,Pro 2049,Grey,COMMERCIAL,Madhya Pradesh,P000901,Yogesh Rane,2014-03-03,0,0
VEH000318,OD33 PO 2913,Hyundai,Santro,Blue,LMV,Odisha,P000903,Lekhraj Srivastava,2020-10-18,0,0
VEH000319,UK16 TZ 7818,Bajaj,Pulsar 150,Black,TWO_WHEELER,Uttarakhand,P000904,Bhagaban Patra,2017-11-29,0,0
VEH000320,GJ01 FF 5897,Hero,Passion Pro,Red,TWO_WHEELER,Gujarat,P000908,THIRD PARTY,2025-10-23,0,0
VEH000321,OD02 TU 6122,Tata,Harrier,Silver,LMV,Odisha,P000911,THIRD PARTY,2014-06-16,1,0
VEH000322,DL07 IF 8761,Eicher,Pro 3015,White,COMMERCIAL,Delhi,P000912,THIRD PARTY,2013-10-19,0,0
VEH000323,JH01 DA 0084,Toyota,Etios,Black,LMV,Jharkhand,P000921,Reshma Rahman,2025-04-25,0,0
VEH000324,HR10 OR 0502,Eicher,Pro 3015,Maroon,COMMERCIAL,Haryana,P000925,Sachin Naik,2020-12-04,0,0
VEH000325,TN67 UE 3304,Hyundai,Verna,Black,LMV,Tamil Nadu,P000930,Yallappa Acharya,2024-10-08,0,0
VEH000326,JH01 TU 4021,Tata,Sumo,Silver,LMV,Jharkhand,P000934,Bikash Mistry,2021-03-01,0,1
VEH000327,MN02 NT 5768,Ashok Leyland,Dost,Silver,COMMERCIAL,Manipur,P000936,Rajesh Awasthi,2017-08-31,0,0
VEH000328,OD02 RG 1106,Tata,Ace,Blue,LMV,Odisha,P000937,THIRD PARTY,2024-06-13,1,1
VEH000329,TN10 GW 7188,Hero,HF Deluxe,Black,TWO_WHEELER,Tamil Nadu,P000942,Rambabu Yadav,2017-10-15,0,0
VEH000330,OD02 CU 6459,Tata,407,Blue,LMV,Odisha,P000943,THIRD PARTY,2015-03-18,0,0
VEH000331,KL10 EY 5084,Toyota,Innova Crysta,Maroon,LMV,Kerala,P000945,Bhaskar Dalvi,2023-09-26,0,0
VEH000332,AP39 KY 6004,Bajaj,Platina,Silver,TWO_WHEELER,Andhra Pradesh,P000947,Ratheesh Kurup,2022-06-30,1,1
VEH000333,DL10 IP 4228,Eicher,Pro 3015,Blue,COMMERCIAL,Delhi,P000949,THIRD PARTY,2021-06-23,0,0
VEH000334,PB65 QS 4894,Royal Enfield,Bullet 350,Grey,TWO_WHEELER,Punjab,P000963,Sandip Bhoir,2023-03-16,0,0
VEH000335,GJ18 WJ 4082,Eicher,Pro 2049,Blue,COMMERCIAL,Gujarat,P000964,Kiran Waghmare,2020-01-14,0,1
VEH000336,OD02 VS 6189,Hyundai,Venue,White,LMV,Odisha,P000968,Ganesh Pawar,2018-05-05,0,0
VEH000337,TN09 JY 8370,Eicher,Pro 3015,Red,COMMERCIAL,Tamil Nadu,P000969,Aslam Ansari,2025-06-18,0,0
VEH000338,HR20 JF 8060,Tata,Safari,White,LMV,Haryana,P000971,Bimal Adhikari,2015-12-31,0,0
VEH000339,HR38 WK 3745,Maruti Suzuki,Baleno,Maroon,LMV,Haryana,P000977,THIRD PARTY,2016-04-09,0,0
VEH000340,TN45 WD 6414,Ashok Leyland,Ecomet,White,COMMERCIAL,Tamil Nadu,P000980,Manikandan Subramanian,2024-09-03,0,0
VEH000341,PB08 EK 1699,Ashok Leyland,Ecomet,White,COMMERCIAL,Punjab,P000983,THIRD PARTY,2020-06-28,0,1
VEH000342,CG10 PY 5548,Hero,HF Deluxe,Grey,TWO_WHEELER,Chhattisgarh,P000984,Manju Awasthi,2019-02-01,0,0
VEH000343,MN01 CY 9877,Ashok Leyland,Ecomet,Blue,COMMERCIAL,Manipur,P000985,Arindam Chakraborty,2014-01-03,0,0
VEH000344,TN10 GN 3100,Hero,Splendor Plus,Maroon,TWO_WHEELER,Tamil Nadu,P000988,Bikramjit Sandhu,2022-08-21,1,0
VEH000345,DL10 KP 3526,Hyundai,Venue,White,LMV,Delhi,P000991,Nathu Beniwal,2016-11-01,0,0
