record_a,name_a,dob_a,record_b,name_b,dob_b,is_same_person,variant_type,shared_signals,shared_phone,correct_action
P000706,Balbir Baghel,2001-02-18,P001600,B. Baghel,2001-02-18,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000532,Shakeel Rahman,1996-04-12,P001601,S. Rahman,1997-04-12,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000426,Ibrahim Mirza,1989-05-02,P001602,Ibrahim,1989-05-01,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,9884333362,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000469,Mohammed Baig,1974-08-27,P001603,Mohd. Baig,1973-08-27,1,GIVEN_NAME_TRANSLITERATION,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,8110177114,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000784,Ashfaq Sheikh,2002-12-20,P001604,Ashfaq Shaikh,2001-12-20,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000336,Munna Baghel,1970-08-25,P001605,Munna,1970-08-25,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,9052527470,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000357,Om Prakash Rajput,1964-12-22,P001606,Rajput Om Prakash,1964-12-21,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,9138473659,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000113,Mushtaq Khan,1982-05-05,P001607,M. Khan,1982-05-04,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,7059118624,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000073,Iqbal Mansuri,1976-04-24,P001608,Mansuri Iqbal,1977-04-24,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000358,Prakash Rai,1968-09-04,P001609,P. Rai,1968-09-05,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,9977495035,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000820,Kulwant Toor,1971-02-13,P001610,Kulwant,1970-02-13,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000423,Sikha Halder,1965-03-15,P001611,Sikha Halder,1961-06-18,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000906,Palanisamy Gounder,1984-02-06,P001612,Palanisamy Gounder,1992-06-08,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000968,Ganesh Pawar,1991-04-17,P001613,Ganesh Pawar,1993-06-25,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000268,Deepak Sengar,2003-03-23,P001614,Deepak Sengar,2002-08-16,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000032,Rasik Joshi,1999-03-24,P001615,Rasik Joshi,1967-02-07,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000464,Vinod Rajput,1991-04-10,P001616,Vinod Rajput,1967-05-25,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000994,Jasbir Virk,1999-10-10,P001617,Jasbir Virk,1980-07-15,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000142,Karamjit Bajwa,2003-11-14,P001618,Karamjit Bajwa,1977-03-08,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000395,Kannan Annadurai,1973-03-27,P001619,Kannan Annadurai,1997-09-08,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000873,Bikram Basumatary,1982-09-20,P001620,Bikram Basumatary,1961-08-03,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000049,Bhavesh Thakor,1985-10-24,P001621,Bhavesh Thakor,1986-08-26,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000994,Jasbir Virk,1999-10-10,P001622,Jasbir Virk,1999-08-07,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000925,Sachin Naik,1982-01-07,P001623,Sachin Naik,2002-02-22,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000754,Dharmesh Makwana,2000-10-15,P001624,Dharmesh Makwana,1984-03-12,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000024,Bharat Gohil,1983-05-24,P001625,Bharat Gohil,1968-09-10,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000611,Rambabu Kumar,1967-11-17,P001626,Rambabu Kumar,1982-09-24,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000618,Basanta Behera,1960-11-10,P001627,Basanta Behera,1984-12-25,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000027,Vishal Gaikwad,1970-02-17,P001628,Vishal Gaikwad,1977-04-09,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000946,Rajni Awasthi,1964-01-27,P001629,Rajni Awasthi,1963-05-10,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000888,Balwinder Dhaliwal,2002-11-08,P001630,Balwinder Dhaliwal,1964-06-27,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000983,Rodney Fernandes,1995-09-25,P001631,Rodney Fernandes,1985-05-15,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000291,Manoj Menon,1998-08-01,P001632,Manoj Menon,1962-10-18,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000856,Bala Gounder,1972-06-23,P001633,Bala Gounder,2002-10-20,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000908,Harpreet Sidhu,1970-01-05,P001634,Harpreet Sidhu,1979-10-26,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000150,Sarfaraz Mansuri,1991-10-09,P001635,Sarfaraz Mansuri,1969-08-20,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000015,Swapnil Bhoir,1976-08-26,P001636,Swapnil Bhoir,1970-11-02,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000872,Bikram Jamir,1984-12-16,P001637,Bikram Jamir,1986-02-17,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000015,Swapnil Bhoir,1976-08-26,P001638,Swapnil Bhoir,1976-05-19,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000495,Firoz Mansuri,2001-08-10,P001639,Firoz Mansuri,1976-10-14,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000756,Shakeel Malik,2002-06-24,P001640,Shakeel Malik,1977-02-15,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000606,Tanveer Rahman,1974-07-27,P001641,Tanveer Rahman,1970-01-18,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000246,Sunil Sharma,1987-10-09,P001642,Sunil Sharma,1967-09-22,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000803,Malkiat Virk,1970-01-18,P001643,Malkiat Virk,1978-12-26,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000664,Mallesh Naidu,1995-05-11,P001644,Mallesh Naidu,1975-12-14,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000682,Rupa Das,1988-04-26,P001645,Rupa Das,1991-03-03,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000468,Gopal Naskar,1989-10-09,P001646,Gopal Naskar,1966-03-21,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000581,Shahnawaz Ansari,1990-01-17,P001647,Shahnawaz Ansari,1966-01-18,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000133,Gurmeet Bajwa,1960-10-20,P001648,Gurmeet Bajwa,2003-09-24,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000893,Imran Qureshi,1997-08-17,P001649,Imran Qureshi,1984-06-23,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000365,Velu Nadar,1986-11-25,P001650,Velu Nadar,1965-09-24,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000490,Ashok Verma,1964-04-14,P001651,Ashok Verma,1961-01-13,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000353,Ratheesh Menon,1978-07-14,P001652,Ratheesh Menon,1983-06-14,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000424,Shanti Dubey,1970-01-07,P001653,Shanti Dubey,1990-04-04,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000242,Pradeep Maurya,1977-03-12,P001654,Pradeep Maurya,1985-04-13,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000601,Sarfaraz Chaudhary,1997-08-21,P001655,Sarfaraz Chaudhary,1988-10-14,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000728,Netrapal Saini,2002-09-11,P001656,Netrapal Saini,1997-08-17,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000264,Girdhari Prajapati,1968-07-14,P001657,Girdhari Prajapati,1993-04-26,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000409,Sanjay Nagar,1970-09-11,P001658,Sanjay Nagar,1985-05-25,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000006,Zubair Sheikh,1986-06-11,P001659,Zubair Sheikh,1995-11-06,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000725,Altaf Khan,1992-10-19,P001660,Altaf Khan,1977-11-17,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000433,Subhas Naskar,1969-01-11,P001661,Subhas Naskar,1970-02-10,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000761,Mahesh Pandey,1994-01-05,P001662,Mahesh Pandey,1985-05-25,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000403,Saravanan Mudaliar,1983-02-12,P001663,Saravanan Mudaliar,1993-01-11,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000102,Abdul Shaikh,1994-11-16,P001664,Abdul Shaikh,1963-05-12,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000550,Anwar Qureshi,1974-04-08,P001665,Anwar Qureshi,1998-05-01,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000193,Nirmal Barman,1994-01-16,P001666,Nirmal Barman,1991-01-13,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000601,Sarfaraz Chaudhary,1997-08-21,P001667,Sarfaraz Chaudhary,1960-11-12,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000590,Shailendra Kashyap,1968-01-03,P001668,Shailendra Kashyap,1975-06-14,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000813,Mukesh Baghel,1975-05-03,P001669,Mukesh Baghel,1998-01-04,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000391,Mallikarjun Desai,1996-10-23,P001670,Mallikarjun Desai,2000-04-23,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000971,Bimal Adhikari,1971-04-09,P001671,Bimal Adhikari,1991-04-17,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000213,Ajay Tiwari,1994-02-21,P001672,Ajay Tiwari,2003-09-17,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000257,Sarfaraz Zaidi,1979-10-27,P001673,Sarfaraz Zaidi,2000-07-14,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000118,Bikramjit Sidhu,1986-10-16,P001674,Bikramjit Sidhu,1963-05-12,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000552,Manju Yadav,1987-08-03,P001675,Manju Yadav,2003-12-06,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000038,Tushar Zala,2001-04-10,P001676,Tushar Zala,2002-06-24,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000969,Aslam Ansari,1990-03-18,P001677,Aslam Ansari,1972-09-12,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000437,Farida Khan,2002-03-09,P001678,Farida Khan,1996-02-27,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000149,Satnam Sandhu,1971-12-22,P001679,Satnam Sandhu,1973-10-23,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000326,Jignesh Patel,1992-12-05,P001680,Jignesh Patel,1967-05-25,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000291,Manoj Menon,1998-08-01,P001681,Manoj Menon,1972-03-08,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000394,Pramod Shukla,2002-02-22,P001682,Pramod Shukla,1972-09-20,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000391,Mallikarjun Desai,1996-10-23,P001683,Mallikarjun Desai,1960-01-11,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000904,Bhagaban Patra,1995-03-13,P001684,Bhagaban Patra,2001-08-10,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000222,Prakash Srivastava,1990-02-21,P001685,Prakash Srivastava,1969-01-16,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000328,Prakash Awasthi,1962-08-20,P001686,Prakash Awasthi,1993-04-27,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000199,Imran Hussain,1984-07-11,P001687,Imran Hussain,1996-02-27,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000896,Aslam Khan,1968-03-10,P001688,Aslam Khan,1984-07-11,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000850,Nagaraju Nallamothu,2001-11-14,P001689,Nagaraju Nallamothu,1972-02-14,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000108,Ranveer Kumawat,1997-02-01,P001690,Ranveer Kumawat,1986-06-02,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000951,Nathu Ranawat,1991-11-05,P001691,Nathu Ranawat,1968-03-10,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000109,Firoz Chaudhary,1998-07-22,P001692,Firoz Chaudhary,1969-08-16,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000037,Ganesh Dalvi,1962-06-18,P001693,Ganesh Dalvi,2001-09-02,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
P000396,Netrapal Nishad,1984-07-15,P001694,Netrapal Nishad,2002-07-08,0,COINCIDENTAL_NAME_COLLISION,SAME_FULL_NAME,,DO_NOT_MERGE_DIFFERENT_DOB_AND_DISTRICT
